id,title,base_price,sold_quantity,rating_average,visits
MCO652679060,Extensor De Toma Corriente 3 Salidas Giratorio 180 Grado,16998,250,4.1,4441
MCO905491705,"Impermeabilizante Negro Mate, Tapa Goteras, Fugas - Corneta",27987,150,4.2,2138
MCO817626675,Escalera Telescopica Desplegable Altura Ajustable 3.8 Metros,499900,100,4.9,4905
MCO622606691,Extensión Eléctrica Encauchetada X 15mt Uso Industrial Larga,31750,250,4.7,6238
MCO656000698,"Impermeabilizante Transparente, Tapa Goteras, Fugas",34990,100,4.5,2387
MCO613484211,Escalera Tubular Plegable De 3 Peldaños Masescaleras ,161405,100,4.7,2317
MCO652680109,Adaptador De Toma Corriente 3 Salidas Giratorio 180 Grado,16998,500,4,9781
MCO573196777,Switch Inteligente Wifi Alexa Y Google Home (2 Botones),79900,300,4.6,24420
MCO613488388,Escalera Multiproposito De 16 Pasos En Aluminio 4x4 + Escale,459900,200,4.8,7824
MCO611348761,Sonoff New Basicr2 Wifi Smart Switch Domotica Fácil En Casa,34900,500,4.8,8710
MCO647041452,Aerosol Impermeabilizante 400ml - L a $34990,34990,160,4.2,8434
MCO602167001,Regadera Ducha Metálica 20 X 20 Cuadrada Kit Tubo Ducha Lujo,38900,500,4.8,42577
MCO487512710,Kit Panel Solar+4 Bombillos+batería+linterna Carga Celulares,95900,500,4.5,202073
MCO602224637,Toma Corriente Doble + 2 Usb Polo A Tierra Homologa Retie,21755,500,4.8,20573
MCO571464380,Kit De Pesas Ejercicio Mancuernas Juego De Pesas Termoforrad,157900,5000,4.6,535390
MCO610951513,Kit De Pesas Ejercicio Mancuernas Juego De Pesas Termoforrad,169900,500,4.3,234858
MCO564169608,Cuerda Lazo De Velocidad Para Saltar Guaya Ajustable Gym,20900,1500,4.5,197426
MCO575340469,Cinta Kinesiologicas Terapeutica,18000,4780,4.6,58126
MCO802972595,Colchoneta Enrollable Ejercicios Abdominales Yoga Gimnasio,37800,500,4.6,21820
MCO640527451,"Barra Multifuncional Crossfit De Pared, Abdominales Y Etc",78213,500,4.5,19670
MCO564427813,Mancuernas Pesas 40kg 80lb Antideslizante Termoforradas Barr,254900,500,4.4,247788
MCO559272772,2x1 Gas Pimienta Defensa Personal Aerosol Peper + Carnet!,26910,500,4.7,69710
MCO831126041,Colchoneta Yoga Pilates Mat Tapete Ejercicios 10mm De Grosor,54900,1250,4.9,25397
MCO601054452,Rodillos En Acero Inoxidable Sin Desmontar La Llanta,89187,500,4,140734
MCO612105307,Bandas Elasticas Cerradas X5  Ejercicio Resistencia,22990,500,4.1,38114
MCO468268025,Soporte Pared Bicicleta 30kg Original 2 Unid Torni +obsequio,25432,5000,4.7,290743
MCO568025248,Colchonetas Cbm Semiprofesionales Gym Gimnasio Abdominales,45000,5000,4.7,288909
MCO578116187,Lazo Profesional Cuerda Para Saltar Velocidad 100% Metalico,42000,1250,4.9,30583
MCO550837677,Venda Elastica Autoadhesiva Kinesiologica,7800,4229,4.6,97251
MCO642327002,Kit Bandas Tubulares De Resistencia Ejercicio 11 Piezas,33400,500,4.1,34103
MCO532672853,Bicicicleta Roadmaster Hurricane 29  Shimano Revoshift 21vel,629900,1905,4.3,2198832
MCO579271482,Hand Grip Ejercitador De Mano Ajustable 40 Kg Sportfitness ,20805,500,4.8,10151
